Perception,Target,iptm,ptm,ligand_fls2_iptm,ligand_coreceptor_iptm,ligand_pae_min_fls2,ligand_pae_min_coreceptor
No perception,0,0.8833333333333333,0.8766666666666666,0.64,0.38333333333333336,7.280000000000001,8.856666666666667
No perception,0,0.82,0.8633333333333333,0.4533333333333333,0.25333333333333335,11.496666666666668,11.983333333333334
No perception,0,0.8566666666666666,0.87,0.54,0.3033333333333333,8.973333333333334,10.6
No perception,0,0.87,0.8733333333333334,0.5366666666666666,0.32,9.226666666666667,10.613333333333332
No perception,0,0.8566666666666666,0.8666666666666667,0.5933333333333334,0.32666666666666666,9.346666666666666,10.933333333333332
No perception,0,0.8533333333333334,0.8666666666666667,0.5733333333333333,0.32999999999999996,8.270000000000001,10.883333333333335
No perception,0,0.8633333333333333,0.8666666666666667,0.5466666666666666,0.31666666666666665,9.576666666666668,9.803333333333335
No perception,0,0.8733333333333334,0.8733333333333334,0.5933333333333334,0.3866666666666667,7.12,8.07
No perception,0,0.85,0.8666666666666667,0.5499999999999999,0.31333333333333335,8.51,10.12
No perception,0,0.8566666666666666,0.87,0.5066666666666667,0.3233333333333333,7.913333333333334,9.129999999999999
No perception,0,0.86,0.8666666666666667,0.5266666666666666,0.36000000000000004,10.066666666666666,8.583333333333334
No perception,0,0.8633333333333333,0.87,0.4633333333333334,0.26666666666666666,10.356666666666667,10.463333333333333
No perception,0,0.87,0.8733333333333334,0.5533333333333333,0.33,8.540000000000001,10.083333333333334
No perception,0,0.84,0.8633333333333333,0.51,0.2866666666666667,8.823333333333332,11.146666666666667
No perception,0,0.85,0.87,0.57,0.32,7.316666666666666,12.800000000000002
No perception,0,0.84,0.8666666666666667,0.47333333333333333,0.27,10.88,11.456666666666669
No perception,0,0.8766666666666666,0.8766666666666666,0.6566666666666666,0.39333333333333337,6.253333333333333,8.516666666666666
No perception,0,0.8566666666666666,0.87,0.6833333333333332,0.4000000000000001,4.583333333333333,7.943333333333334
No perception,0,0.89,0.8766666666666666,0.7733333333333334,0.49666666666666665,3.186666666666667,5.213333333333334
No perception,0,0.8066666666666666,0.8533333333333334,0.44333333333333336,0.22666666666666666,11.273333333333333,12.553333333333333
No perception,0,0.88,0.8833333333333333,0.6066666666666667,0.41,7.330000000000001,6.4799999999999995
No perception,0,0.8666666666666667,0.87,0.51,0.2866666666666667,8.86,10.983333333333334
No perception,0,0.87,0.8733333333333334,0.53,0.32,9.576666666666666,9.963333333333333
No perception,0,0.8733333333333334,0.87,0.6,0.3666666666666667,7.29,9.83
No perception,0,0.8966666666666666,0.89,0.7733333333333334,0.5566666666666666,3.873333333333333,3.84
No perception,0,0.8833333333333333,0.8833333333333333,0.6933333333333334,0.47000000000000003,5.616666666666667,5.913333333333333
No perception,0,0.8966666666666666,0.8866666666666667,0.7433333333333333,0.5433333333333333,4.183333333333334,3.736666666666667
No perception,0,0.91,0.89,0.8566666666666666,0.6466666666666666,3.0533333333333332,2.6633333333333336
No perception,0,0.8566666666666666,0.87,0.5633333333333334,0.3133333333333333,8.65,11.063333333333333
No perception,0,0.7933333333333333,0.86,0.5433333333333333,0.31,6.473333333333334,10.723333333333334
No perception,0,0.8533333333333334,0.8666666666666667,0.51,0.31,9.166666666666666,9.713333333333333
No perception,0,0.87,0.87,0.7233333333333333,0.4533333333333333,5.056666666666667,7.460000000000001
No perception,0,0.8966666666666666,0.8866666666666667,0.8033333333333333,0.58,3.1933333333333334,3.3166666666666664
